date,Contenue
2022-07-26,"LVMH-Croissance organique de 19% du chiffre d'affaires au T2 26 juillet (Reuters) - LVMH LVMH.PA a fait état mardi d'une croissance organique de 19% de son chiffre d'affaires au deuxième trimestre, qui s'est établi à 18,73 milliards d'euros, battant le consensus. Le géant français du luxe a notamment enregistré une hausse de 30% de ses ventes de vins et spiritueux sur la période avril-juin. (Rédigé par Jean Terzian, édité par Jean-Michel Bélot)"
2022-07-11,"Sephora: vente de 100% des actions de sa filiale en Russie (CercleFinance.com) - Sephora annonce la signature d'un accord pour la cession de 100% des actions de sa filiale en Russie à son Directeur Général local, visant à favoriser la continuité pour les salariés. Cette activité sera exploitée sous la marque historique ' Île de Beauté'. Cette transaction est soumise à l'approbation des autorités compétentes, notamment des autorités de la concurrence."
2022-07-22,"LVMH : le groupe Arnault veut pérenniser le contrôle familial (AOF) - Le groupe familial Arnault, qui contrôle LVMH, envisage une réorganisation destinée à assurer la pérennisation du contrôle familial, selon un document déposé auprès de l’Autorité des marchés financiers. Elle consisterait en la transformation de la société Agache SE, aujourd’hui constituée sous la forme de société européenne, en une société en commandite par actions, Agache SCA, à l’issue de laquelle son capital social, aujourd’hui intégralement détenu par le groupe familial Arnault, demeurera intégralement détenu par ce dernier en qualité d’associé commanditaire. Bernard Arnault serait désigné en tant que gérant commandité d'Agache SCA. Une société par actions simplifiée à capital variable, Agache Commandité SAS associée commandité d'Agache SCA serait créée, dont le capital social sera détenu à parité par les cinq enfants de Bernard Arnault, d'ores et déjà membres du groupe familial Arnault, et qui a vocation à lui succéder en tant que gérant. AOF - EN SAVOIR PLUS Points clés - Leader mondial du luxe né en 1987, regroupant 75 maisons de luxe, dont 25 centenaires (Louis Vuitton, Moët Hennessy, Dior, Céline, Givenchy, Guerlain, Kenzo, Bulgari, TagHeuer, Tiffany…) ; - Positions géographiques solides avec des revenus de 44,7 Mds€ répartis entre la France pour 8 %, le reste de l’Europe pour 16 %, les Etats-Unis pour 24 %, le Japon pour 7 % et le reste de l’Asie pour 34 % ; - Répartition équilibrée des activités entre les 2 métiers historiques -mode & maroquinerie pour 47 %, vins & spiritueux pour 11 %- et la distribution sélective pour 23 %, les parfums et cosmétiques pour 12 % et les montres & joaillerie ; - Modèle opérationnel fondé sur 6 piliers : organisation décentralisée, intégration verticale de l’approvisionnement aux canaux de distribution (DFS en Asie, Miami Cruise, Sephora et Le Bon Marché), pérennisation des savoir-faire, équilibre des activités et des implantations, synergies et croissance interne ; - Capital verrouillé par le groupe familial Arnault (47,3 % du capital, directement et indirectement et les 2/3 des droits de vote), Bernard Arnault étant président directeur général du conseil d’administration de 15 membres. Enjeux - Stratégie d’innovation au service de 3 enjeux : attrait des talents : Institut des métiers d’excellence de la mode, programme « inside LVMH » pour les étudiants, programme DARE pour les innovations en interne, accueil de 50 start-ups dans l’incubateur « le LVMH Luxury Lab » / R&D dans la cosmétique (200 brevets et « centres de recherche) / digitalisation des réseaux de distribution et expérience client ; - Stratégie environnementale « LIFE 360 » : circularité créative : éco-conception à 100 % des produits et emballage zéro plastique fossile en 2030 / transparence avec la traçabilité de toutes les chaînes d’approvisionnement en 2030 / engagement climat (trajectoire 15 ° et 100 % d’’énergie renouvelable pour les sites en boutiques en 2030) / biodiversité : certification de la préservation des écosystèmes ((2026) et régénération de la flore et la faune sur 5 Mhas en 2030 ; - Capacité à augmenter les prix dans la joaillerie et l’horlogerie, secteurs très concurrentiels. L'axe du développement durable désormais prioritaire C'est l'une des attentes les plus fortes des clients âgés de 25 à 40 ans, qui représentent une proportion croissante des ventes. Cela représente également un atout dans le recrutement pour les grandes marques de luxe. LVMH, Fendi, l'Imperial College London et la Central Saint Martins UAL se sont associés autour d'un projet de recherche de deux ans pour développer de nouveaux biotextiles pour la fourrure dans le secteur. Récemment le manifeste pour une mode regénérative, élaboré en partenariat avec l'Alliance pour la bioéconomie circulaire (CBA) a été signé par Burberry, Chloé, Stella McCartney, ou Armani. Quant à Kering, il a mis au point un outil mesurant tout au long de la chaîne d'approvisionnement ses émissions de CO2, la consommation d'eau, ou l'utilisation des sols."
2022-07-21,"Le groupe Arnault veut réorganiser la holding Agache - AMF PARIS, 21 juillet (Reuters) - Le groupe Arnault envisage de réorganiser la holding Agache en société en commandite par action, Agache SCA, afin de pérenniser sur le long terme le contrôle de LVMH par la famille Arnault, fait savoir jeudi l'Autorité des marchés financiers (AMF). Dans un avis financier, l'AMF indique que le groupe Arnault, qui contrôle le géant du luxe LVMH, prévoit également la création d'une société par actions simplifiée à capital variable, Agache Commandité, dont le capital sera détenu à parité par les cinq enfants de Bernard Arnault. ""Il est envisagé au sein du groupe familial Arnault une réorganisation destinée à assurer la pérennisation à long terme du contrôle familial"", peut-on lire dans l'avis de l'AMF. Le gendarme de la Bourse de Paris ajoute que Bernard Arnault, le PDG de LVMH, sera le gérant commandité d’Agache SCA. (Rédigé par Matthieu Protard)"
2022-07-11,"Sephora annonce la cession de 100% des actions de sa filiale en Russie SEPHORA ANNONCE LA CESSION DE 100% DES ACTIONS DE SA FILIALE EN RUSSIE PARIS (Reuters) - Sephora annonce lundi la signature d'un accord pour la cession de 100% des actions de sa filiale en Russie à son directeur général local. ""A l'avenir, cette activité sera exploitée sous la marque historique "" Île de Beauté"". Cette transaction est soumise à l'approbation des autorités compétentes, notamment des autorités de la concurrence"", est-il précisé dans un communiqué. (Reportage Mimosa Spencer, version française Sophie Louet)"
2022-07-21,"Le groupe Arnault veut réorganiser la holding Agache, selon l'AMF LE GROUPE ARNAULT VEUT RÉORGANISER LA HOLDING AGACHE, SELON L'AMF PARIS (Reuters) - Le groupe Arnault envisage de réorganiser la holding Agache en société en commandite par action, Agache SCA, afin de pérenniser sur le long terme le contrôle de LVMH par la famille Arnault, fait savoir jeudi l'Autorité des marchés financiers (AMF). Dans un avis financier, l'AMF indique que le groupe Arnault, qui contrôle le géant du luxe LVMH, prévoit également la création d'une société par actions simplifiée à capital variable, Agache Commandité, dont le capital sera détenu à parité par les cinq enfants de Bernard Arnault. ""Il est envisagé au sein du groupe familial Arnault une réorganisation destinée à assurer la pérennisation à long terme du contrôle familial"", peut-on lire dans l'avis de l'AMF. Le gendarme de la Bourse de Paris ajoute que Bernard Arnault, le PDG de LVMH, sera le gérant commandité d’Agache SCA. (Rédigé par Matthieu Protard)"
2022-07-22,"Le luxe français devrait profiter des achats des touristes en Europe LE LUXE FRANÇAIS DEVRAIT PROFITER DES ACHATS DES TOURISTES EN EUROPE par Mimosa Spencer PARIS (Reuters) - La fièvre acheteuse des touristes en Europe devrait stimuler les ventes trimestrielles des groupes de luxe français LVMH, Kering (propriétaire de Gucci), et Hermès, et compenser les ratés du marché chinois liés à la prolongation des restrictions sanitaires contre le COVID-19. Les maisons de mode françaises et italiennes ont profité d'une forte demande de marques de créateurs après la pandémie, les acheteurs étant toujours désireux de dépenser les économies réalisées lors des confinements, malgré les secousses sur les marchés boursiers et la hausse des prix. ""Les consommateurs américains voyagent en Europe comme si c'était la fin du monde"", a déclaré Mario Ortelli, de la société de conseil en fusions et acquisitions dans le secteur du luxe Ortelli & Co, prévoyant que cette tendance stimulera les ventes du secteur sur le continent. Les investisseurs seront attentifs aux signes d'une baisse de l'appétit pour les marques de créateurs ainsi qu'aux projets de nouvelles hausses de prix des sociétés de produits de luxe, qui visent à protéger les marges. ""Nous continuons à voir une demande de produits haut de gamme surdimensionnée sur le marché, car les consommateurs de toutes les nationalités émergent de la pandémie (comme si c'était la dernière fois). Cela doit encore se normaliser"", a déclaré Luca Solca, analyste chez Bernstein, qui s'attend à voir cette ""normalisation"" commencer au second semestre 2022. Les fermetures en Chine pourraient toutefois encore assombrir les résultats. Les ventes du secteur dans le pays ont chuté de près de 40% sur le trimestre, selon les estimations de Barclays, qui prévoit une croissance organique des ventes mondiales d'environ 11%, soit la moitié de celle du trimestre précédent. Les inquiétudes concernant les perspectives en Chine se sont ravivées le 15 juillet, lorsque les résultats des marques Burberry et Richemont ont montré une chute de plus de 30% de leurs ventes en raison des restrictions liées au COVID-19, au moment où le pays a publié des données faibles sur le PIB au deuxième trimestre. La vigueur du marché américain fera également l'objet d'une vigilance particulière pour déceler tout signe de faiblesse. Les États-Unis ont dépassé l'Europe en tant que plus grand marché du luxe l'année dernière et attirent un flux d'investissements dans de nouveaux magasins qui portent des marques européennes. Les estimations de ventes d'UBS pour le deuxième trimestre indiquent une croissance de 17% pour LVMH, de 12% pour Kering et 16% pour Hermès. LVMH publiera ses résultats du premier semestre le 26 juillet, Kering le 27 juillet et Hermès le 29 juillet. (version française Dagmarah Mackos, édité par Kate Entringer)"
2022-05-12,"Louis Vuitton : marque française la plus valorisée au monde (AOF) - Après avoir baissé de 11% en 2020, cette année la valeur totale des 150 marques françaises les plus valorisées, au sein du classement Brand Finance France 150 2022, est en hausse de 13% par rapport aux valorisations de 2021, soit une augmentation de 48,2 milliards d'euros en valeur de marque. Pour la première fois de son histoire au sein des classements Brand Finance France, Louis Vuitton s'empare du titre de marque française la plus valorisée. La marque progresse de trois rangs (+59,7% vs 2021) au sein du classement 2022 avec une valeur de marque de 20,20 milliards d'euros. Bertrand Chovet, directeur général de Brand Finance France, analyse : "" La marque Louis Vuitton sort renforcée de la pandémie. C'est le fruit du mariage de l'excellence de la créativité et de l'exécution sur tous les marchés. Dans le contexte et l'incertitude passée et présente, l'actif marque sera un facteur fort de compétitivité et limitera les risques pour l'activité. "" AOF - EN SAVOIR PLUS Points clés - Leader mondial du luxe né en 1987, regroupant 75 maisons de luxe, dont 25 centenaires (Louis Vuitton, Moët Hennessy, Dior, Céline, Givenchy, Guerlain, Kenzo, Bulgari, TagHeuer, Tiffany…) ; - Positions géographiques solides avec des revenus de 44,7 Mds€ répartis entre la France pour 8 %, le reste de l’Europe pour 16 %, les Etats-Unis pour 24 %, le Japon pour 7 % et le reste de l’Asie pour 34 % ; - Répartition équilibrée des activités entre les 2 métiers historiques -mode & maroquinerie pour 47 %, vins & spiritueux pour 11 %- et la distribution sélective pour 23 %, les parfums et cosmétiques pour 12 % et les montres & joaillerie ; - Modèle opérationnel fondé sur 6 piliers : organisation décentralisée, intégration verticale de l’approvisionnement aux canaux de distribution (DFS en Asie, Miami Cruise, Sephora et Le Bon Marché), pérennisation des savoir-faire, équilibre des activités et des implantations, synergies et croissance interne ; - Capital verrouillé par le groupe familial Arnault (47,3 % du capital, directement et indirectement et les 2/3 des droits de vote), Bernard Arnault étant président directeur général du conseil d’administration de 15 membres. Enjeux - Stratégie d’innovation au service de 3 enjeux : attrait des talents : Institut des métiers d’excellence de la mode, programme « inside LVMH » pour les étudiants, programme DARE pour les innovations en interne, accueil de 50 start-ups dans l’incubateur « le LVMH Luxury Lab » / R&D dans la cosmétique (200 brevets et « centres de recherche) / digitalisation des réseaux de distribution et expérience client ; - Stratégie environnementale « LIFE 360 » : circularité créative : éco-conception à 100 % des produits et emballage zéro plastique fossile en 2030 / transparence avec la traçabilité de toutes les chaînes d’approvisionnement en 2030 / engagement climat (trajectoire 15 ° et 100 % d’’énergie renouvelable pour les sites en boutiques en 2030) / biodiversité : certification de la préservation des écosystèmes ((2026) et régénération de la flore et la faune sur 5 Mhas en 2030 ; - Capacité à augmenter les prix dans la joaillerie et l’horlogerie, secteurs très concurrentiels. Deux tendances de fond liées au Covid La crise sanitaire a conforté le développement du digital dans un secteur pourtant peu tourné vers le e-commerce. Sa part a doublé en deux ans pour atteindre 22 % en 2021, soit 62 milliards d'euros. Les accessoires, les sneakers et les produits de beauté sont en tête des ventes. Selon Bain, le numérique devrait devenir le premier canal de ventes du luxe dès 2025. Les acteurs comme Kering souhaitent donc internaliser de plus en plus la gestion de leurs sites. L’autre mouvement de fond lié à la crise sanitaire, et qui s’inscrit dans une logique de développement durable, est l’essor du marché de l'occasion. Il a bondi de 30% depuis 2019 et représente 12% du marché total. Ces évolutions sont portées par les jeunes générations, alors que les 25-40 ans devraient représenter 70% des acheteurs en 2025, contre 45% en 2019."
2022-05-10,"Le groupe audiovisuel Banijay va entrer en Bourse avec un SPAC soutenu par Arnault (Actualisé avec précisions) PARIS, 10 mai (Reuters) - Le groupe audiovisuel français Banijay va entrer en Bourse en fusionnant avec un SPAC soutenu par Bernard Arnault dans le cadre d'une opération valorisée au total à plus de 4 milliards d'euros, a annoncé mardi un dirigeant de la maison-mère du groupe. Banijay, qui compte notamment dans son catalogue mondial l'émission de divertissement ""The Voice"", va être intégrée à la société baptisée FL Entertainment qui entrera en Bourse le 1er juillet, a indiqué François Riahi. L'IPO de FL Entertainment s'effectuera via une acquisition par Pegasus Entrepreneurs PEACE.AS , un SPAC soutenu par le groupe français de gestion d'actifs Tikehau Capital TKOO.PA et une holding de la famille de Bernard Arnault, le PDG de LVMH LVMH.PA . FL Entertainment va intégrer aussi le groupe de paris en ligne Betclic, contrôlé à l'heure actuelle, comme Banijay, par l'homme d'affaires Stéphane Courbit via sa firme d'investissement Financière LOV. LOV va injecter 250 millions d'euros dans FL Entertainment dans le cadre de l'opération et détiendra 46% du capital de la société. Des actionnaires actuels de Banijay et Betclic, dont Vivendi VIV.PA , ont promis de nouveaux investissements. Vivendi va ainsi détenir 20% de FL Entertainment. (Reportage Mathieu Rosemain, rédigé par Nicolas Delame et Jean Terzian)"
2022-07-20,"ANALYSE-L'entrée en Bourse de Porsche s'annonce difficile * La guerre et l'effondrement des marchés compliquent l'IPO du constructeur automobile * Une forte baisse de la valorisation est probable pour y parvenir - sources * Les constructeurs automobiles allemands cherchent à passer à l'électrique par Emma-Victoria Farr LONDRES, 20 juillet (Reuters) - Porsche pourrait être contraint de lancer le processus de sa cotation en Bourse sur la base d'une valorisation moins importante qu'anticipé alors que les difficultés s'accumulent pour le groupe automobile allemand, ont déclaré deux personnes proches du dossier. La perspective d'une valorisation moins importante constituerait un revers pour les familles à la tête de l'entreprise qui poussent vers une IPO afin de financer la transition onéreuse des voitures de sport à moteur thermique vers l'électrique. Les estimations initiales qui valorisaient Porsche, contrôlée par le plus grand constructeur automobile d'Europe, Volkswagen VOWG_p.DE , à plus de 80 milliards d'euros, sont élevées, selon les sources. Elles estiment qu'une valorisation moins importante pourrait être nécessaire face aux obstacles que sont la guerre, les menaces de récession et les pénuries d'énergie afin de garantir ce qui pourrait être l'une des plus grandes IPO au monde. Porsche pourrait devoir se contenter de 60 milliards d'euros, a déclaré une des sources, en précisant que les propriétaires n'accepteraient rien de moins. Une autre source a également ajouté que les propriétaires du constructeur avaient des points de vue différents sur la valeur à donner à la marque. Une troisième personne impliquée dans les préparatifs a déclaré que les investisseurs devaient encore se mettre d'accord sur une formule d'évaluation. Cette semaine, les dirigeants de Porsche ont présenté leur business plan aux investisseurs. Lutz Meschke, directeur financier, a déclaré aux journalistes que le constructeur automobile était ""financièrement résilient"" et ""bien préparé pour les étapes suivantes"". Porsche a estimé son chiffre d'affaire à plus de 38 milliards en 2022, contre 33 milliards en 2021, malgré une baisse de 5% des livraisons au premier semestre de cette année. Cependant, certains investisseurs restent hésitants. Le mois dernier Bernstein Research a fixé la ""juste valeur"" de Porsche à environ 75 milliards d'euros, la qualifiant de ""grande entreprise mais [ce n'est] pas Ferrari"" en raison des marges plus élevées de cette dernière. L'un des 20 principaux actionnaires de Volkswagen a déclaré à Reuters qu'il ne voyait pas d'un bon œil l'introduction en bourse, car seule une petite quantité d'actions sera vendue, ce qui donnera peu d'influence aux nouveaux actionnaires. Porsche ferait mieux de rester au sein du groupe Volkswagen, tandis que l'introduction en bourse ne ""créerait pas de valeur"" à long terme, a ajouté ce dernier, qui a demandé à ne pas être nommé. Plus tôt dans la semaine, Oliver Blume, président du directoire de Porsche, et Lutz Meschke se sont montrés confiants dans leurs présentations. Les affaires ont été solides pendant la pandémie, a déclaré Oliver Blume. ""Il y a un grand besoin sur les marchés des capitaux et beaucoup d'argent à investir"". Les banquiers chargés de l'opération ont l'intention d'étudier les conditions du marché à la fin du mois d'août, avec une décision du conseil d'administration de Porsche et un document d'intention d'introduction en bourse qui pourraient être publiés peu de temps après. Un porte-parole de Porsche a déclaré qu'il n'y avait pas eu de ""nouvelles décisions"" concernant ses projets d'introduction en bourse, tandis que Volkswagen s'est refusé à tout commentaire. CHANGEMENT VERS L'ÉLECTRIQUE La volonté d'introduction en bourse intervient alors que les constructeurs automobiles allemands cherchent à rompre le lien avec les moteurs diesel et essence afin de s'orienter vers des modèles électriques plus silencieux et plus écologiques. Porsche souhaite que 80% de ses ventes de voitures soient électriques d'ici à 2030, soit environ quatre fois plus que le niveau actuel, tandis que Volkswagen s'est également engagé dans cet ambitieux virage vers des véhicules, des batteries et des logiciels électriques. L'introduction en bourse est destinée à financer ce changement. Si la cotation n'a pas lieu ou si elle n'a lieu qu'avec une décote, il y aura moins à investir. Une introduction en bourse modifierait également l'équilibre des pouvoirs au sein du premier constructeur automobile européen, Volkswagen, qui contrôle Porsche depuis une tentative de rachat ratée il y a plus de dix ans. Toutefois, les obstacles économiques sont considérables. Seulement 2,3 milliards de dollars ont été levés sur les marchés des capitaux allemands cette année, soit une baisse de 90% par rapport à l'année précédente, selon les données Refinitiv. Seuls 12,5% des actions de Porsche seront en circulation libre, avec une chute des valorisations des constructeurs automobiles européens depuis le début de l'année 2022. Les constructeurs de voitures de luxe ont été particulièrement touchés. La capitalisation boursière d'Aston Martin AML.L a perdu 57% de sa valeur depuis le début de l'année 2022, et Ferrari RACE.MI près d'un tiers. Porsche pourrait être comparé à des marques de luxe cotées très bien valorisées, telles que la maison française de luxe LVMH LVMH.PA , mais elle reste toujours dans l'ombre de Tesla TSLA.O , estime un banquier impliqué dans le dossier. (Reportage additionnel Christoph Steitz à Francfort, Victoria Waldersee à Berlin et Lucy Raitano à Londres; version française Alizée Degorce, édité par Kate Entringer)"
