date,Contenue
2022-07-29,"Le Maire ""fier des résultats"" des entreprises françaises En plein débat sur les ""superprofits"" des grandes entreprises, à l'image de TotalEnergies, le ministre de l'Économie Bruno Le Maire s'est dit vendredi ""fier"" de leurs résultats, refusant à nouveau de les taxer sur ces bénéfices exceptionnels. ""Je suis fier des résultats de nos entreprises tricolores et surpris de voir à quel point on accable aujourd'hui de tous les maux des entreprises françaises qui affichent de bons résultats"", a commenté le numéro deux du gouvernement à la sortie du Conseil des ministres. ""De bons résultats pour les entreprises françaises, ce sont de bons résultats pour nos compatriotes, c'est de la création d'emplois, de l'ouverture d'usines, la possibilité d'investir, d'innover"", a estimé le ministre. Bruno Le Maire s'exprimait quelques heures après la publication des résultats d'Engie, qui a comme TotalEnergies dégagé au deuxième trimestre des bénéfices plus que doublés par rapport au printemps 2021. TotalEnergies a dit en outre à l'AFP ne pas avoir ""acquitté d'impôt sur les sociétés en France en 2021 car la somme de ses activités a dégagé un résultat fiscal déficitaire"". ""Quand nos entreprises se portent bien, je m'en réjoui. Est-ce que ça veut dire qu'elles doivent s'exonérer de toute contribution à l'effort national? Certainement pas"", a poursuivi Bruno Le Maire en suggérant des gestes aux banques. Après avoir salué la remise à la pompe mise en place par TotalEnergies, ou les ""chèques"" proposés par Engie, le ministre a souligné que les grandes entreprises pouvaient ""contribuer dans d'autres secteurs d'activité"". ""Je pense par exemple au secteur bancaire. Sur les frais bancaires, je pense que le secteur peut certainement faire davantage en la matière"", a-t-il détaillé. ""Voilà des contributions très directes. Une taxe, c'est de l'argent dans les poches de l'État, pas dans les poches des Français. Quand l'inflation est à plus de 6% (6,1% sur un an en juillet selon une première estimation de l'Insee, NDLR), l'argent on le veut tout de suite"", a argumenté le patron de Bercy. ""Les entreprises peuvent et doivent contribuer autrement"" que via des taxes à la lutte contre l'inflation, ""par des soutiens directs au pouvoir d'achat des Français, mais aussi par la rémunération"", a conclu le ministre. dga/jbo/LyS"
2022-07-29,"TotalEnergies: s'associe avec ADNOC en Egypte (CercleFinance.com) - Le partenariat entre TotalEnergies et ADNOC se renforce après la signature par ADNOC Distribution d'un accord lui permettant d'acquérir une participation de 50 % au capital de TotalEnergies Marketing Egypt pour un montant d'environ 200 millions USD. Le partenariat proposé entre TotalEnergies et ADNOC Distribution, numéro un de la distribution de carburants aux Émirats arabes unis, englobe un portefeuille de 240 stations-service ainsi que des activités de vente de carburants en gros, de carburant pour l'aviation et de lubrifiants. La transaction devrait être finalisée d'ici le premier trimestre 2023. Thierry Pflimlin, directeur général Marketing & Services de TotalEnergies, a déclaré : ' TotalEnergies est ravie d'unir ses forces à celles d'ADNOC Distribution en Égypte. La vaste expérience d'un distributeur de carburants expérimenté dans la région du Conseil de coopération du Golfe apportera une valeur ajoutée significative à notre filiale en Égypte. ' ' Cette initiative s'inscrit dans notre vision de faire d'ADNOC Distribution un leader régional dans le secteur de la distribution de carburant ', commente Bader Saeed Al Lamki, directeur général d'ADNOC Distribution."
2022-07-29,"Le Maire ""fier des résultats"" des entreprises françaises En plein débat sur les ""superprofits"" des grandes entreprises, à l'image de TotalEnergies, le ministre de l'Économie Bruno Le Maire s'est dit vendredi ""fier"" de leurs résultats, refusant à nouveau de les taxer sur ces bénéfices exceptionnels. ""Je suis fier des résultats de nos entreprises tricolores et surpris de voir à quel point on accable aujourd'hui de tous les maux des entreprises françaises qui affichent de bons résultats"", a commenté le numéro deux du gouvernement à la sortie du Conseil des ministres. ""De bons résultats pour les entreprises françaises, ce sont de bons résultats pour nos compatriotes, c'est de la création d'emplois, de l'ouverture d'usines, la possibilité d'investir, d'innover"", a estimé le ministre. Bruno Le Maire s'exprimait quelques heures après la publication des résultats d'Engie, qui a comme TotalEnergies dégagé au deuxième trimestre des bénéfices plus que doublés par rapport au printemps 2021. TotalEnergies a dit en outre à l'AFP ne pas avoir ""acquitté d'impôt sur les sociétés en France en 2021 car la somme de ses activités a dégagé un résultat fiscal déficitaire"". ""Quand nos entreprises se portent bien, je m'en réjouis. Est-ce que ça veut dire qu'elles doivent s'exonérer de toute contribution à l'effort national? Certainement pas"", a poursuivi Bruno Le Maire en suggérant des gestes aux banques. Après avoir salué la remise à la pompe mise en place par TotalEnergies, ou les ""chèques"" proposés par Engie, le ministre a souligné que les grandes entreprises pouvaient ""contribuer dans d'autres secteurs d'activité"". ""Je pense par exemple au secteur bancaire. Sur les frais bancaires, je pense que le secteur peut certainement faire davantage en la matière"", a-t-il détaillé. ""Voilà des contributions très directes. Une taxe, c'est de l'argent dans les poches de l'État, pas dans les poches des Français. Quand l'inflation est à plus de 6% (6,1% sur un an en juillet selon une première estimation de l'Insee, NDLR), l'argent on le veut tout de suite"", a argumenté le patron de Bercy. ""Les entreprises peuvent et doivent contribuer autrement"" que via des taxes à la lutte contre l'inflation, ""par des soutiens directs au pouvoir d'achat des Français, mais aussi par la rémunération"", a conclu le ministre. Sollicitée par l'AFP, la Fédération bancaire française a souligné dans un communiqué que ""le sujet de la tarification (était) un sujet concurrentiel, encadré et contrôlé par les autorités"". Les banques ""ont cependant pris, il y a plusieurs années déjà, des engagements de plafonnement des frais d'incidents bancaires pour les personnes qui choisissent l'offre dite +clientèle fragile+ ainsi que pour les personnes identifiées comme fragiles financièrement, même si elles n'ont pas souhaité souscrire l'offre"" dédiée, a poursuivi la FBF. ""Elles continueront de travailler, avec les différentes parties prenantes, à la recherche des meilleures solutions pour répondre aux enjeux d'aujourd'hui et aux besoins de leurs clients"", ont conclu les banques. dga-ktr/jbo/LyS"
2022-07-29,"Bénéfice record au deuxième trimestre pour Exxon par Sabrina Valle HOUSTON, 29 juillet (Reuters) - Exxon Mobil Corp XOM.N a fait état vendredi d'un bénéfice trimestriel record, grâce à la flambée des prix de l'énergie et à la maîtrise de ses dépenses. Le premier producteur de pétrole américain a annoncé un bénéfice net de 17,9 milliards de dollars (17,53 milliards d'euros) pour le deuxième trimestre - 4,21 dollars par action -, soit près du quadruple des 4,69 milliards de dollars, soit 1,10 dollar par action, enregistrés au cours de la même période l'année dernière. Les prix du pétrole et du gaz naturel ont atteint des niveaux record cette année, les sanctions occidentales contre le principal exportateur, la Russie, et son intervention militaire en Ukraine ayant resserré un marché mondial déjà sous-approvisionné. Les marges réalisées sur la production de carburants tels que l'essence et le diesel ont augmenté dans le monde entier, ce qui a dopé les bénéfices des géants pétroliers, notamment Shell SHEL.L et TotalEnergies TTEF.PA , qui ont tous deux publié leurs résultats jeudi. ➦ Shell bat son record de bénéfice avec 11,5 milliards de dollars au T2 Exxon a utilisé les liquidités supplémentaires pour rembourser ses dettes et augmenter les distributions aux actionnaires. Elle a maintenu son dividende de 88 cents par action pour le troisième trimestre. Plus tôt cette année, la société a plus que doublé son programme de rachat d'actions, le portant à 30 milliards de dollars jusqu'en 2022 et 2023. Shell et Total ont prolongé jeudi leurs rachats d'actions après des résultats favorables. ➦ TotalEnergies-Nouveaux rachats d'actions après un bond des résultats Exxon a maintenu ses investissements en capital à 9,5 milliards de dollars au premier semestre, conformément aux prévisions pour l'ensemble de l'année. Le bénéfice comprend un élément identifié comptabilisé de 300 millions de dollars associé à la vente de l'actif en amont Barnett Shale. (Reportage Sabrina Valle; version française Alizée Degorce, édité par Sophie Louet)"
2022-07-28,"TotalEnergies-Nouveaux rachats d'actions après un bond des résultats (Actualisé avec conférence analystes) PARIS, 28 juillet (Reuters) - TotalEnergies TTEF.PA a annoncé jeudi un nouveau programme de rachat d'actions après avoir enregistré au deuxième trimestre 2022 un bond de ses résultats, une nouvelle fois dopés par la forte hausse du prix des hydrocarbures sur fond de guerre en Ukraine. Le groupe pétrolier, qui se développe à un rythme soutenu dans les énergies renouvelables et l'électricité, a précisé dans un communiqué qu'il visait pour le troisième trimestre jusqu'à 2 milliards de dollars de rachats d'actions, après 3 milliards au premier semestre. Son PDG, Patrick Pouyanné, a ensuite précisé lors d'une conférence téléphonique avec des analystes que le montant total atteindrait au moins 7 milliards d'euros sur l'ensemble de l'année. Il a également déclaré que le groupe ne baisserait pas son dividende, même en cas de récession en 2023. Vers 15h40, l'action TotalEnergies perdait toutefois 2,0% environ tandis que le CAC 40 gagnait 0,81%. ""Les rachats d'actions restent inchangés à 2 milliards de dollars au troisième trimestre malgré l'amélioration de la génération de flux de trésorerie"", a souligné Giacomo Romeo, analyste chez Jefferies, qui tablait sur une hausse de 50% du montant des rachats d'actions. Alors qu'il reste présent en Russie, à travers notamment les actifs ou projets de gaz naturel liquéfié (GNL) Yamal LNG et Arctic LNG et une participation de 19,4% dans Novatek, TotalEnergies a également dû comptabiliser une provision de 3,5 milliards de dollars liée principalement à l'impact potentiel des sanctions internationales sur la valeur de ses parts dans le groupe gazier russe. Son PDG a cependant annoncé aux analystes que la présentation annuelle de la stratégie de TotalEnergies aux investisseurs, en septembre, n'inclurait plus la Russie. ""ENVISAGER L'AVENIR DE TOTALENERGIES SANS LA RUSSIE"" ""Nous voulons que vous envisagiez l'avenir de TotalEnergies sans la Russie (...). Il y aura un impact sur les volumes mais pas vraiment d'impact financier sur la performance et le retour aux actionnaires ne sera pas affecté"", a expliqué Patrick Pouyanné. Le groupe a en outre souligné que, du fait des faibles capacités additionnelles mobilisables de production et de raffinage au niveau mondial et des perturbations sur les marchés liées aux sanctions contre la Russie et aux contre-sanctions de celle-ci, ""l'équilibre offre-demande des marchés des énergies devrait rester fragile et soutenir les prix, notamment gaziers"". TotalEnergies a aussi mis en avant la mobilisation de ses moyens humains et financiers pour ""contribuer à la diversification de l'approvisionnement en gaz de l'Europe en maximisant l'utilisation de sa capacité de regazéification de GNL"". Il anticipe que son prix moyen de vente de GNL devrait dépasser 15 dollars par million d'unités thermiques britanniques (Mbtu) au troisième trimestre, contre 13,8 dollars au premier semestre, mais rappelle que ses activités de GNL seront affectées par l'indisponibilité de l'usine américaine de Freeport LNG. Le groupe table également sur une stabilité de sa production au troisième trimestre et veut maintenir un taux d'utilisation élevé dans son activité de raffinage. TotalEnergies a enregistré au deuxième trimestre un résultat net ajusté de 9,8 milliards de dollars (contre 3,5 milliards au T2 2021) alors que les analystes attendaient en moyenne 9,9 milliards, selon les données Refinitiv. L'Ebitda ajusté s'établit à 18,7 milliards de dollars (contre 8,7 milliards) et la marge brute d'autofinancement à 13,2 milliards (multipliée par deux), avec une production d'hydrocarbures stable de 2,738 millions de barils par jour (Mb/j). TotalEnergies a aussi confirmé l'augmentation de 5% de ses acomptes sur dividende pour 2022 en proposant un montant de 0,69 euro par action au titre du deuxième trimestre, en ligne avec sa politique de hausse présentée en février, et a précisé que ses investissements nets devraient s'établir autour de 16 milliards de dollars cette année, dont 25% seront consacrés aux énergies renouvelables et à l'électricité. (Reportage Benjamin Mallet ; avec Shadia Nasralla à Londres, édité par Nicolas Delame et Sophie Louet)"
2022-07-28,"TotalEnergies: lancement de trois projets en Angola (CercleFinance.com) - TotalEnergies annonce le lancement des développements du champ pétrolier de Begonia, des champs gaziers de Quiluma et Maboqueiro, ainsi qu'un premier projet photovoltaïque en Angola. TotalEnergies annonce la décision finale d'investissement sur Begonia, premier développement sur le bloc 17/06 situé à 150 kilomètres au large des côtes de l'Angola. La mise en service, prévue pour fin 2024, augmentera la production de 30 000 barils par jour. Le groupe annonce également la décision finale d'investissement du projet ' Non Associated Gas 1 ' (NAG1), dans lequel la Compagnie détient une participation de 11,8%. Le groupe s'est également vu attribuer par les autorités angolaises, la concession qui permettra la construction de la centrale photovoltaïque de Quilemba, d'une capacité de 35 MWc, avec la possibilité d'y ajouter 45 MWc dans une deuxième phase."
2022-07-29,"Fiscalité des entreprises: Le Maire ""très favorable"" à une mission d'information Le ministre de l'Economie, Bruno le Maire, s'est déclaré vendredi ""très favorable"" à la mission d'information sur la fiscalité des groupes du Cac 40 qui ne paient pas d'impôt sur les sociétés en France, voulue par Eric Coquerel (LFI), président de la commission des Finances de l'Assemblée nationale. ""J'y suis très favorable"", a affirmé Bruno Le Maire à l'issue du Conseil des ministres, interrogé sur les superbénéfices du groupe pétrolier TotalEnergies et sur la mission d'information qui doit se pencher sur les pratiques d'optimisation fiscale utilisées par les entreprises afin de ne pas payer l'impôt sur les sociétés. ""Le Parlement est dans son rôle quand il contrôle, quand il fait preuve de transparence, et quand il permet d'apaiser le débat"", a-t-il ajouté, réitérant toutefois qu'il s'opposait à taxer les superprofits des entreprises, notamment de Total qui a plus que doublé son bénéfice net au deuxième trimestre, à 5,7 milliards de dollars. Si cette mission ""permet d'apaiser un peu le débat, de voir la réalité des problèmes plutôt que de systématiquement avoir ce réflexe de la taxation et qu'on regarde ce qu'il en est réellement de la fiscalité des entreprises, qu'on fasse la plus grande transparence sur le sujet"", a-t-il, assurant n'y ""voir que des avantages"". L'Insoumis Eric Coquerel, président de la commission des Finances à l'Assemblée, espère le lancement de cette mission d'information parlementaire en septembre pour une durée d'environ six mois, a-t-il indiqué à l'AFP. ""On veut comprendre pourquoi plus vous êtes gros, moins vous payez d'impôts"". Sur Franceinfo, le député a justifié cette mission en affirmant que Total n'avait ""pas payé d'impôt sur les sociétés en France en 2019 et en 2020"", ce que le groupe confirme. Le groupe TotalEnergies avait indiqué à l'AFP avoir payé en France en 2021 un total de 1,9 milliard ""d'impôts, taxes et cotisations sociales"" mais aucun impôt sur les sociétés car ""la somme de ses activités a dégagé un résultat fiscal déficitaire"". ""Moi, je ne crois absolument pas que Total ne fasse pas de bénéfices en France. C'est quelque chose qui a plus à voir avec l'optimisation fiscale"", affirme Eric Coquerel. ""Il n'est pas normal que les PME paient presque 25% d'impôts en France, alors que les 300 plus grosses entreprises paient 17% et que des entreprises du Cac 40 comme Total paient zéro impôt"", a déploré le député, soulignant que le groupe pétrolier dispose de ""3.300 stations-service en France, près de 35.000 personnes qui y travaillent et 25% de son activité (en France)"". ""Il y a quelque chose qui ne tient pas"", a souligné M. Coquerel. ""C'est là qu'il faudra travailler, comprendre comment ça se passe pour qu'il y ait une plus grande justice fiscale et que ça rentre de l'argent dans les caisses de l'Etat"", a-t-il promis. En parallèle, le président de la Commission des Finances avait annoncé le 20 juillet avoir ""réussi à obtenir une mission transversale sur l'évasion fiscale. Pendant cinq ans, on va avoir un commissaire (la députée LFI Charlotte Leduc) qui va travailler sur l'évasion fiscale avec les moyens de l'administration"". Rapporteure spéciale, Charlotte Leduc signera un rapport sur le sujet lors du marathon budgétaire de l'automne. Nommés pour un an, les rapporteurs spéciaux sont habituellement reconduits d'une année sur l'autre. arz-adc-jmi/caz/npk"
2022-07-28,"TotalEnergies: Nouveaux rachats d'actions après un bond des résultats TOTALENERGIES: NOUVEAUX RACHATS D'ACTIONS APRÈS UN BOND DES RÉSULTATS PARIS (Reuters) - TotalEnergies a annoncé jeudi un nouveau programme de rachat d'actions après avoir enregistré au deuxième trimestre 2022 un bond de ses résultats, une nouvelle fois dopés par la forte hausse du prix des hydrocarbures sur fond de guerre en Ukraine. Le groupe pétrolier, qui se développe à un rythme soutenu dans les énergies renouvelables et l'électricité, a précisé dans un communiqué qu'il visait pour le troisième trimestre jusqu'à 2 milliards de dollars de rachats d'actions, après 3 milliards au premier semestre. Son PDG, Patrick Pouyanné, a ensuite précisé lors d'une conférence téléphonique avec des analystes que le montant total atteindrait au moins 7 milliards d'euros sur l'ensemble de l'année. Il a également déclaré que le groupe ne baisserait pas son dividende, même en cas de récession en 2023. Vers 15h40, l'action TotalEnergies perdait toutefois 2,0% environ tandis que le CAC 40 gagnait 0,81%. ""Les rachats d'actions restent inchangés à 2 milliards de dollars au troisième trimestre malgré l'amélioration de la génération de flux de trésorerie"", a souligné Giacomo Romeo, analyste chez Jefferies, qui tablait sur une hausse de 50% du montant des rachats d'actions. Alors qu'il reste présent en Russie, à travers notamment les actifs ou projets de gaz naturel liquéfié (GNL) Yamal LNG et Arctic LNG et une participation de 19,4% dans Novatek, TotalEnergies a également dû comptabiliser une provision de 3,5 milliards de dollars liée principalement à l'impact potentiel des sanctions internationales sur la valeur de ses parts dans le groupe gazier russe. Son PDG a cependant annoncé aux analystes que la présentation annuelle de la stratégie de TotalEnergies aux investisseurs, en septembre, n'inclurait plus la Russie. ""ENVISAGER L'AVENIR DE TOTALENERGIES SANS LA RUSSIE"" ""Nous voulons que vous envisagiez l'avenir de TotalEnergies sans la Russie (...). Il y aura un impact sur les volumes mais pas vraiment d'impact financier sur la performance et le retour aux actionnaires ne sera pas affecté"", a expliqué Patrick Pouyanné. Le groupe a en outre souligné que, du fait des faibles capacités additionnelles mobilisables de production et de raffinage au niveau mondial et des perturbations sur les marchés liées aux sanctions contre la Russie et aux contre-sanctions de celle-ci, ""l'équilibre offre-demande des marchés des énergies devrait rester fragile et soutenir les prix, notamment gaziers"". TotalEnergies a aussi mis en avant la mobilisation de ses moyens humains et financiers pour ""contribuer à la diversification de l'approvisionnement en gaz de l'Europe en maximisant l'utilisation de sa capacité de regazéification de GNL"". Il anticipe que son prix moyen de vente de GNL devrait dépasser 15 dollars par million d'unités thermiques britanniques (Mbtu) au troisième trimestre, contre 13,8 dollars au premier semestre, mais rappelle que ses activités de GNL seront affectées par l'indisponibilité de l'usine américaine de Freeport LNG. Le groupe table également sur une stabilité de sa production au troisième trimestre et veut maintenir un taux d'utilisation élevé dans son activité de raffinage. TotalEnergies a enregistré au deuxième trimestre un résultat net ajusté de 9,8 milliards de dollars (contre 3,5 milliards au T2 2021) alors que les analystes attendaient en moyenne 9,9 milliards, selon les données Refinitiv. L'Ebitda ajusté s'établit à 18,7 milliards de dollars (contre 8,7 milliards) et la marge brute d'autofinancement à 13,2 milliards (multipliée par deux), avec une production d'hydrocarbures stable de 2,738 millions de barils par jour (Mb/j). TotalEnergies a aussi confirmé l'augmentation de 5% de ses acomptes sur dividende pour 2022 en proposant un montant de 0,69 euro par action au titre du deuxième trimestre, en ligne avec sa politique de hausse présentée en février, et a précisé que ses investissements nets devraient s'établir autour de 16 milliards de dollars cette année, dont 25% seront consacrés aux énergies renouvelables et à l'électricité. (Reportage Benjamin Mallet ; avec Shadia Nasralla à Londres, édité par Nicolas Delame et Sophie Louet)"
2022-07-28,"TotalEnergies trouve difficile de faire des acquisitions de grande ampleur dans les renouvelables-PDG 28 juillet (Reuters) - Le PDG de TotalEnergies SE TTEF.PA , Patrick Pouyanné, a déclaré lors d'une conférence avec des analystes: * QU'IL LUI SEMBLE DIFFICILE DE FAIRE DES ACQUISITIONS DE GRANDE AMPLEUR DANS LES RENOUVELABLES Pour plus de détails, cliquez sur TTEF.PA (Reportage Benjamin Mallet)"
2022-07-29,"Chevron-Un bénefice record et des prévisions à la hausse par Sabrina Valle HOUSTON, 29 juillet (Reuters) - Chevron Corp CVX.N a affiché vendredi un bénéfice trimestriel historique, grâce à de solides marges sur les carburants, ainsi qu'aux prix élevés du gaz naturel et du pétrole, et a revu à la hausse ses prévisions de rachat d'actions dans les mois à venir. La compagnie pétrolière américaine fait état d'un bénéfice net de 11,6 milliards de dollars (11,36 milliards d'euros) au deuxième trimestre, soit 5,95 dollars par action diluée, ce qui représente plus du triple des 3,1 milliards de dollars, soit 1,60 dollar par action, enregistrés au cours de la même période l'année dernière. Les intentions de Chevron d'augmenter ses rachats d'actions suivent celles d'autres géants pétroliers, notamment TotalEnergies TTEF.PA et Shell SHEL.L , qui ont augmenté cette semaine leurs rachats pour satisfaire les investisseurs à la recherche de rendements plus importants. Le prix de vente moyen de la société pour un baril de pétrole brut et de GNL était de 89 dollars au cours du trimestre, contre 54 dollars le baril un an plus tôt. Chevron a augmenté la limite supérieure de sa fourchette d'objectifs annuels de rachat d'actions de 10 milliards de dollars à 15 milliards de dollars. La société a également utilisé ses bénéfices pour réduire son taux d'endettement, qui est actuellement inférieur à 15%, ce qui est en deçà des prévisions de la société. Les actions de cette dernière étaient en hausse de 3,7% dans les échanges de pré-marché pour atteindre 155,90 dollars. Chevron a accru ses investissements et augmenté sa production aux États-Unis, alors que sa production mondiale diminue à la suite de l'expiration de concessions en Thaïlande et en Indonésie. ""Nous avons plus que doublé nos investissements par rapport à l'année dernière pour développer nos activités dans le secteur des énergies traditionnelles et nouvelles"", a déclaré le directeur général Michael Wirth dans un communiqué. (Reportage Sabrina Valle; version française Alizée Degorce, édité par Sophie Louet)"
